,cs1,cs2
368,56.887325,2605.3164
369,7.3705173,1114.9386
370,90.75892,3077.2039
371,40.969982,2915.9856
372,5.618943,1568.9944
373,16.167501,1872.4592
374,32.065243,2291.9846
375,21.788704,1946.06
376,30.922802,2610.0928
377,18.652061,2232.045
378,21.835413,2868.751
379,85.89863,3594.7463
380,70.737495,3180.1
381,84.57354,3117.3037
382,43.446514,2527.5535
383,63.768074,4484.144
384,29.583426,2202.8716
385,71.91094,3434.4133
386,32.834484,1689.149
387,18.620682,1561.4921
388,24.406199,1814.7452
389,72.20413,3675.51
390,26.222363,3235.5986
391,52.873215,3263.9062
392,13.311069,1686.3749
393,49.084106,2360.5103
