,x,y,z,s1,cs1,cs2_bottom,s2,cs2
2416015,-52.128983,-27.004921,-52.217728,1128.642,1344.2096,9302.23,32163.19,37111.832
2416290,-32.26961,-0.9799362,-63.8471,1329.8737,1441.2378,8860.529,33711.33,35081.516
2416309,23.12014,-26.291044,-75.44758,1303.075,1367.165,5461.785,23334.518,22127.203
2416351,-16.4902,5.422312,-106.31675,904.3951,777.4783,4532.7407,19399.74,17838.27
2416428,39.785076,-36.68903,-63.673153,1468.2975,1660.5548,6300.3833,24196.705,25539.748
2417368,7.450869,-10.845791,-60.900116,1475.3867,1577.0787,9608.235,41993.742,38243.723
2417941,-15.721875,-32.446774,-78.824,1553.8375,1590.8608,11197.992,43585.785,45369.637
2417951,58.50234,3.3531811,-15.914947,669.01965,823.88556,4013.4456,14122.246,16068.72
2417955,-13.386757,59.214436,-36.867825,720.65173,896.2984,4162.2095,14254.761,16829.24
2418752,36.815994,16.158915,-18.684404,1370.3027,1618.5283,15585.229,58606.18,62867.785
2418823,43.18638,8.435278,-59.320484,92.430954,103.6829,928.8363,3762.6646,3920.7925
2419615,-41.55001,19.510256,-36.850544,920.4656,1097.706,5397.7075,23148.453,22752.45
2420179,-52.859913,0.22939412,-37.552746,1192.8999,1436.7249,10289.541,38343.37,40559.297
2420540,1.4890537,-30.809322,-78.17397,1448.6301,1481.5302,8990.612,38038.492,36642.08
2420601,-21.584743,35.52533,-120.174095,1530.6608,1283.865,10833.2295,38978.777,42960.812
2420631,-30.759188,-36.37602,-132.40974,1001.32983,754.2646,4362.749,13309.1875,17663.678
2420706,41.382473,26.342682,-97.037796,1587.5753,1543.5676,7947.381,24138.053,31882.107
2420801,3.8826423,54.00603,-52.65938,1379.1147,1620.0968,5588.5776,18173.004,22692.252
2420913,56.75036,20.486172,-62.077183,238.04053,275.15906,1268.9109,4499.3457,5426.8438
2421056,47.85624,-3.1708279,-54.39386,1512.8032,1732.8962,12084.771,48024.375,48063.72
2421288,7.9277725,17.596138,-21.808304,1546.536,1787.0306,12779.538,54070.41,51602.547
2421500,6.3123045,37.99036,-48.785152,256.54147,292.18918,2527.0435,9478.17,10201.921
2421576,-41.28158,4.2783732,-64.17576,1473.2427,1622.3264,7002.0493,28408.43,28278.469
2422177,33.717728,-3.5950058,-64.73216,946.4303,1023.5625,4874.879,18980.531,19310.309
2422381,-4.4577017,34.7328,-108.492546,1108.3152,978.1331,5811.266,18423.602,23324.436
2422498,-2.3562403,11.826962,-19.38006,1119.0531,1289.7634,7143.6377,29869.07,28049.906
2422763,-18.36616,1.5375764,-78.01063,299.09717,301.96606,1944.961,9752.298,7805.4194
2422811,-2.2097309,-16.201382,-99.41703,1828.4397,1644.0659,6925.874,28744.395,27282.406
2423397,-25.140488,40.38352,-68.5482,1307.3942,1441.479,9997.533,35648.312,39878.684
2423485,-17.527525,-57.419724,-115.46293,1010.10956,920.58496,4621.9873,16148.127,18869.611
2423517,19.323141,56.654057,-67.41076,634.5989,722.17896,3463.1292,10227.639,13639.119
2423625,25.565886,25.328983,-90.426506,567.5133,552.93475,3040.5137,11400.652,12086.363
2424148,36.13737,-18.857294,-16.341614,1313.5728,1561.7622,9965.504,37396.848,39126.062
2424338,47.25117,8.693616,-86.15754,706.14935,716.61365,2932.3206,10051.886,11358.576
2424393,42.67397,18.4477,-102.31083,767.5026,714.52496,3250.6448,10586.265,12883.89
2424736,20.384592,22.526829,-55.60427,1572.7545,1731.5378,7266.2207,28152.785,28471.55
